classification,A,B,relay_T,pooled_relay,pooled_reverse_relay,n_fwd,n_rev,evidence_summary,citations
KNOWN_COREGULATED,APRIL,IL-4,NKT,0.000863109,0.000149506,5,2,Documented direction is reverse: IL-4 induces APRIL expression in macrophages via p38MAPK-CREB/Stat6. No published evidence APRIL induces IL-4 in NKT cells.,IL-4 stimulates mouse macrophages to express APRIL through p38MAPK and two different downstream molecules — https://www.sciencedirect.com/science/article/abs/pii/S1043466609001069; APRIL stimulates NF-κB-mediated HoxC4 induction for AID expression in mouse B cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3723325/
KNOWN_COREGULATED,IL-9,GITRL,NKT,0.000742561,0.000311204,5,0,"Direction is reversed: GITRL/GITR co-stimulation drives Th9 differentiation and IL-9 production from CD4 T cells (key axis in anti-tumor immunity), not the other way around. IL-9 and GITRL co-occur in the Th9 axis.",GITR drives TH9-mediated antitumor immunity - https://pmc.ncbi.nlm.nih.gov/articles/PMC4910720/; GITR subverts Foxp3+ Tregs to boost Th9 immunity - https://www.nature.com/articles/ncomms9266
KNOWN_COREGULATED,IL-36Ra,IL-6,NKT,0.000257616,8.40943e-05,2,3,IL-36Ra is an antagonist that suppresses (not induces) IL-6 by inhibiting IL-36 signaling at IL-36R. The documented relationship is IL-36 agonists → IL-6 induction; IL-36Ra reduces IL-6. Thus IL-36Ra → IL-6 induction is the opposite of documented bio,Protective effect of interleukin-36 receptor antagonist on liver injury — https://pmc.ncbi.nlm.nih.gov/articles/PMC7374990/; Interleukin(IL)-36α and IL-36γ Induce Proinflammatory Mediators — https://pmc.ncbi.nlm.nih.gov/articles/PMC4585048/
KNOWN_COREGULATED,VEGF,CT-1,NK CD56bright,0.000207086,9.57269e-05,5,3,"Direction is reversed: cardiotrophin-1 induces VEGF expression in cardiac myocytes (via STAT3), well documented. No evidence of VEGF inducing CT-1.",Cardiotrophin-1 induces VEGF expression in cardiac myocytes - https://www.pnas.org/doi/pdf/10.1073/pnas.92.4.1142; VEGF-A in Cardiomyocytes and Heart Diseases - https://pmc.ncbi.nlm.nih.gov/articles/PMC7432634/
KNOWN_COREGULATED,IL-12,VEGF,CD16 Mono,0.000124679,0.000123964,5,3,"IL-12 is documented as ANTI-angiogenic (opposite direction to A→B), acting via IFN-γ/IP-10 to inhibit neovascularization and VEGF-dependent angiogenesis. Both molecules are coupled in the angiogenesis axis but the documented cascade is IL-12 inhibiti",IL-12 Inhibition of Endothelial Cell Functions and Angiogenesis — https://journals.aai.org/jimmunol/article/166/6/3890/70412/; Angiostatin anti-angiogenesis requires IL-12 — https://pmc.ncbi.nlm.nih.gov/articles/PMC2630934/
KNOWN_COREGULATED,VEGF,IL-15,NK,6.12724e-07,1.76559e-07,4,2,Documented direction is reverse: IL-15 signaling via JAK-STAT5 drives VEGF-A expression in NK cells. No published evidence VEGF induces IL-15.,Transcription Factors Associated With IL-15 Cytokine Signaling During NK Cell Development — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.610789/full; The Production of Pro-angiogenic VEGF-A Isoforms by Hypoxic Human NK Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC7477355/
PARTIAL,Decorin,IL-8,CD8 Naive,0.0135476,0.00761351,3,5,"Decorin has been linked to IL-8 modulation in cancer/macrophage settings, with one study showing reduced decorin increases IL-8 in macrophages and another showing decorin-silenced oral cancer cells lose IL-8 expression. Effects are context-dependent ",A role for aberrantly expressed nuclear localized decorin in migration and invasion of dysplastic and malignant oral epithelial cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3198745/; Decorin Secreted by Human Umbilical Cord Blood-Derived Mesenchymal Stem Cells Induces Macrophage Polarization via CD44 — https://pmc.ncbi.nlm.nih.gov/articles/PMC6801980/
PARTIAL,APRIL,VEGF,CD14 Mono,0.0127234,0.00921627,5,1,"APRIL and VEGF-A are both elevated in disease (e.g., extracellular vesicles in TNBC, gliomas) and are correlated prognostic biomarkers, but no mechanistic link showing APRIL directly induces VEGF in monocytes was found.","A Retrospective Exploratory Analysis for Serum Extracellular Vesicles Reveals APRIL (TNFSF13), CXCL13, and VEGF-A as Prognostic Biomarkers — https://www.mdpi.com/1422-0067/24/21/15576"
PARTIAL,GM-CSF,TSLP,NKT,0.00773966,0.00640149,4,1,"GM-CSF is used to differentiate monocytes/DCs that can subsequently produce TSLP in response to LPS or other stimuli, and GM-CSF/TSLP/STAT3 signaling has been linked in cancer contexts. However direct GM-CSF→TSLP induction in immune cells (especially",Thymic Stromal Lymphopoietin is Produced by Dendritic Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC3140600/
PARTIAL,IL-6,APRIL,CD8 Naive,0.00739743,0.00422798,2,4,"APRIL and IL-6 are co-regulated in inflammation and both contribute to plasma cell survival, with positive correlations in arthritis models. No mechanistic evidence of IL-6 directly inducing APRIL in CD8 naive T cells was found.","APRIL (TNFSF13) regulates collagen induced arthritis, IL-17 production and TH2 response — https://pmc.ncbi.nlm.nih.gov/articles/PMC2755626/"
PARTIAL,IL-27,LT-alpha2-beta1,CD8 Naive,0.00557534,0.00532105,1,4,"Indirect link: IL-27 induces Th1 differentiation via STAT1/T-bet, and Th1 cells produce lymphotoxin (alongside IFN-gamma). No direct study of IL-27 inducing LT-alpha2-beta1 specifically in CD8 cells.",Interleukin-27 in T Cell Immunity - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4346869/; IL-27 elicits a cytotoxic CD8+ T cell program - https://www.nature.com/articles/s41586-024-08510-w
PARTIAL,IL-6,IL-13,CD4 Naive,0.00405107,0.00221447,5,1,"IL-6 promotes Th2 polarization (inducing IL-4 secretion and inhibiting Th1), and Th2 cells are the canonical IL-13 source. No direct mechanistic study of IL-6 inducing IL-13 transcription in naive CD4 T cells.",Interleukin 6: at the interface of human health and disease - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1255533/full
