axis_a,axis_b,original_classification,original_direction,original_summary,relay_T_candidates,a_to_b_n_lit_entries,a_to_b_T_list,a_to_b_summary,a_to_b_n_primary,a_to_b_n_secondary,a_to_b_citations_primary,a_to_b_citations_secondary,b_to_a_n_lit_entries,b_to_a_T_list,b_to_a_summary,b_to_a_n_primary,b_to_a_n_secondary,b_to_a_citations_primary,b_to_a_citations_secondary
GM-CSF,IL-27,KNOWN_COREGULATED,b_to_a,"Direction is reversed: IL-27 is a robust SUPPRESSOR of GM-CSF in T cells (STAT1-dependent), well documented in EAE and CNS inflammation. Co-regulated but A→B is anti-cascade.","CD14 Mono:1, pDC:1, CD8 Naive:1",0,,,0,0,,,1,MAIT,"// T=MAIT: Direction is reversed: IL-27 is a robust SUPPRESSOR of GM-CSF in T cells (STAT1-dependent), well documented in EAE and CNS inflammation. Co-regulated but A→B is anti-cascade.",2,0,"Suppression of GM-CSF expression in murine and human T cells by IL-27 - https://pmc.ncbi.nlm.nih.gov/articles/PMC3424384/ ||| IL-27, but not IL-35, inhibits neuroinflammation through modulating GM-CSF expression - https://www.nature.com/articles/s41598-017-16702-w",
GM-CSF,TL1A,KNOWN_DIRECTIONAL,a_to_b,"GM-CSF induces TL1A (Tnfsf15) expression in macrophages, demonstrated in intestinal inflammation models. ILC3 effects on macrophage TL1A were GM-CSF-dependent.","CD8 Naive:2, NK CD56bright:1, ILC:1",1,NK CD56bright,"// T=NK CD56bright: GM-CSF induces TL1A (Tnfsf15) expression in macrophages, demonstrated in intestinal inflammation models. ILC3 effects on macrophage TL1A were GM-CSF-dependent.",1,1,GM-CSF Calibrates Macrophage Defense and Wound Healing Programs - https://www.sciencedirect.com/science/article/pii/S221112472030838X,TL1A/TNFSF15 directly induces proinflammatory cytokines from CD3+CD161+ T cells - https://www.mucosalimmunology.org/article/S1933-0219(22)01244-2/fulltext,0,,,0,0,,
GM-CSF,VEGF,NOVEL,no_lit,"VEGF and GM-CSF operate via distinct pathways with mostly opposing effects on dendritic cell function (VEGF suppresses, GM-CSF promotes maturation). No literature describes VEGF inducing GM-CSF in CD4 naive T cells.",CD14 Mono:1,0,,,0,0,,,1,CD4 Naive,"// T=CD4 Naive: VEGF and GM-CSF operate via distinct pathways with mostly opposing effects on dendritic cell function (VEGF suppresses, GM-CSF promotes maturation). No literature describes VEGF inducing GM-CSF in CD4 naive T cells.",0,0,,
IFN-beta,IFN-gamma,KNOWN_COREGULATED,coregulated_other,"Both are interferons in the same signaling family. IFN-beta has cell-type-specific and context-dependent effects: in monocytes it has been shown to modulate inflammatory responses, while in CD4+ T cells it can suppress IFN-gamma. Direct induction of IFN-gamma by IFN-beta in monocytes is not the cano","CD16 Mono:1, CD4 Naive:1, CD8 Naive:1",1,CD16 Mono,"// T=CD16 Mono: Both are interferons in the same signaling family. IFN-beta has cell-type-specific and context-dependent effects: in monocytes it has been shown to modulate inflammatory responses, while in CD4+ T cells it can suppress IFN-gamma. Direct induction of IFN-gamma by IFN-beta in monocytes is not the canonical documented cascade; co-regulation in the type I/II IFN axis is well established.",1,1,Interferon-Beta Induces Distinct Gene Expression Response Patterns in Human Monocytes versus T cells (PLOS One) — https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0062366,Salmonella Induced IL-23 and IL-1β Allow for IL-12 Production by Monocytes... through Induction of IFN-γ — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2791865/,0,,,0,0,,
IFN-beta,IFN-omega,KNOWN_COREGULATED,bidir,"IFN-beta and IFN-omega are both type I interferons that bind the same IFNAR receptor and are typically co-induced by viral signals via IRF3/IRF7, but IFN-beta is not documented as a direct upstream inducer of IFN-omega in CD8 T cells.","CD8 Naive:2, NK CD56bright:1, MAIT:1",1,CD8 Naive,"// T=CD8 Naive: IFN-beta and IFN-omega are both type I interferons that bind the same IFNAR receptor and are typically co-induced by viral signals via IRF3/IRF7, but IFN-beta is not documented as a direct upstream inducer of IFN-omega in CD8 T cells.",0,2,,Shared and Unique Features of Human Interferon-Beta and Interferon-Alpha Subtypes — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2020.605673/full ||| Type I Interferon Signaling Pathways — https://www.rndsystems.com/pathways/type-i-interferon-signaling-pathways,0,,,0,0,,
IFN-beta,IL-2,KNOWN_DIRECTIONAL,a_to_b,Type-I IFNs (IFN-α/β) act as 'signal 3' on CD8 T cells; IFN-α subtypes induce significantly higher frequencies of IL-2-expressing CD8+ T cells (>2-fold increase) and synergize with IL-2 signaling for effector differentiation.,"Plasmablast:1, MAIT:1, CD8 Naive:1",1,CD8 Naive,// T=CD8 Naive: Type-I IFNs (IFN-α/β) act as 'signal 3' on CD8 T cells; IFN-α subtypes induce significantly higher frequencies of IL-2-expressing CD8+ T cells (>2-fold increase) and synergize with IL-2 signaling for effector differentiation.,0,2,,Diverse Immunomodulatory Effects of Individual IFNα Subtypes on Virus-Specific CD8+ T Cell Responses — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.02255/full ||| Regulation of Effector and Memory CD8 T Cell Differentiation by IL-2 — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6306427/,0,,,0,0,,
IFN-gamma,IFN-omega,KNOWN_DIRECTIONAL,a_to_b,"Type I interferons (the family IFN-omega belongs to) are well-documented inducers of IFN-gamma in NK/NKT/T cells, and IFN-omega specifically enhances cytolytic CD8+ T cell IFN-gamma responses. The relay through pDC is plausible since pDCs are the primary type I IFN amplifier.","MAIT:1, CD16 Mono:1, cDC:1",0,,,0,0,,,1,pDC,"// T=pDC: Type I interferons (the family IFN-omega belongs to) are well-documented inducers of IFN-gamma in NK/NKT/T cells, and IFN-omega specifically enhances cytolytic CD8+ T cell IFN-gamma responses. The relay through pDC is plausible since pDCs are the primary type I IFN amplifier.",2,1,Type 1 Interferon Induction of Natural Killer Cell Gamma Interferon Production during LCMV Infection — https://journals.asm.org/doi/10.1128/mbio.00169-11 ||| Human type-I interferon omega promotes cytolytic CD8+ T cell responses (bioRxiv 2025) — https://www.biorxiv.org/content/10.1101/2025.02.13.638030v1,IFN-alpha treatment stimulates IFN-gamma in type I NKT cells — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333814/
IFN-gamma,IL-2,KNOWN_DIRECTIONAL,a_to_b,"IL-2 is well-established to induce IFN-gamma production in CD8+ T cells via STAT5/T-bet signaling, with multiple papers showing autocrine and paracrine IL-2 amplifies IFN-gamma and granzyme B output in CD8+ effector and memory T cells.","MAIT:1, CD16 Mono:1, CD4 Naive:1",0,,,0,0,,,1,CD8 Naive,"// T=CD8 Naive: IL-2 is well-established to induce IFN-gamma production in CD8+ T cells via STAT5/T-bet signaling, with multiple papers showing autocrine and paracrine IL-2 amplifies IFN-gamma and granzyme B output in CD8+ effector and memory T cells.",1,1,IL-2 Produced by CD8+ Immune T cells Can Augment Their IFN-γ Production — https://pmc.ncbi.nlm.nih.gov/articles/PMC3578122/,CD4+ T Cell-Derived IL-2 Signals during Early Priming Advances Primary CD8+ T Cell Responses — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2770320/
IFN-lambda1,IL-27,NOVEL,no_lit,"No direct evidence found that IFN-lambda1 (IL-29) induces IL-27 in MAIT or other immune cells. IFN-lambda1 induces ELR(-) CXC chemokines and inhibits Th2 responses, but IL-27 induction was not described.","MAIT:2, CD4 Naive:1, CD8 Naive:1",1,MAIT,"// T=MAIT: No direct evidence found that IFN-lambda1 (IL-29) induces IL-27 in MAIT or other immune cells. IFN-lambda1 induces ELR(-) CXC chemokines and inhibits Th2 responses, but IL-27 induction was not described.",0,0,,,0,,,0,0,,
IFN-lambda1,IL-6,KNOWN_DIRECTIONAL,a_to_b,"IL-29/IFN-λ1 up-regulates IL-6 production in PBMCs, macrophages, and synovial fibroblasts; IFN-λ directly responds in CD8 T cells. Direct induction in CD8 T cells specifically is not as well documented but plausible.",,1,CD8 Naive,"// T=CD8 Naive: IL-29/IFN-λ1 up-regulates IL-6 production in PBMCs, macrophages, and synovial fibroblasts; IFN-λ directly responds in CD8 T cells. Direct induction in CD8 T cells specifically is not as well documented but plausible.",1,1,Modulation of the human cytokine response by IFN-λ1/IL-29 — https://www.nature.com/articles/6364348,IL-29 enhances Toll-like receptor-mediated IL-6 and IL-8 production — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3978693/,0,,,0,0,,
IFN-lambda1,IL-9,NOVEL,no_lit,IL-29/IFN-λ1 induction is canonically driven by viral/dsRNA stimuli through IRF/NF-κB pathways. No published evidence IL-9 induces IFN-λ1 in CD8 T cells.,"CD14 Mono:1, CD4 Naive:1",0,,,0,0,,,1,CD8 Naive,// T=CD8 Naive: IL-29/IFN-λ1 induction is canonically driven by viral/dsRNA stimuli through IRF/NF-κB pathways. No published evidence IL-9 induces IFN-λ1 in CD8 T cells.,0,1,,Interleukin 29 (Wikipedia) — https://en.wikipedia.org/wiki/Interleukin_29
IFN-lambda1,VEGF,NOVEL,no_lit,"VEGF modulates T cell IL-10/IFN-gamma balance and influences immunosuppression, but no published evidence found for VEGF induction of IFN-lambda1 (IL-29) in CD8 or any immune cell type.","MAIT:2, CD14 Mono:1, CD4 Naive:1",0,,,0,0,,,1,CD8 Naive,"// T=CD8 Naive: VEGF modulates T cell IL-10/IFN-gamma balance and influences immunosuppression, but no published evidence found for VEGF induction of IFN-lambda1 (IL-29) in CD8 or any immune cell type.",0,0,,
IFN-omega,IL-15,KNOWN_DIRECTIONAL,a_to_b,"Type I interferons (including IFN-omega, signaling through the same IFNAR receptor as IFN-alpha/beta) upregulate IL-15 expression in vitro and in vivo, priming CD8 T and NK cells.","cDC:1, NK CD56bright:1, CD8 Naive:1",1,CD8 Naive,"// T=CD8 Naive: Type I interferons (including IFN-omega, signaling through the same IFNAR receptor as IFN-alpha/beta) upregulate IL-15 expression in vitro and in vivo, priming CD8 T and NK cells.",3,0,Interferon-alpha/beta upregulate IL-15 expression in vitro and in vivo - https://pmc.ncbi.nlm.nih.gov/articles/PMC11030826/ ||| IFN-alpha primes T- and NK-cells for IL-15-mediated signaling and cytotoxicity - https://www.sciencedirect.com/science/article/abs/pii/S0161589011006705 ||| Soluble IL-15 Complexes Generated by Type I IFN Pathways - https://pmc.ncbi.nlm.nih.gov/articles/PMC4354909/,,0,,,0,0,,
IL-12,IL-27,KNOWN_COREGULATED,bidir,"IL-12 and IL-27 are sister IL-12 family cytokines co-regulated by TLR signaling in DCs; both act on CD8 T cells (CD39 induction, effector differentiation) but IL-12 does not directly induce IL-27 expression.","CD4 Naive:1, MAIT:1",1,CD8 Naive,"// T=CD8 Naive: IL-12 and IL-27 are sister IL-12 family cytokines co-regulated by TLR signaling in DCs; both act on CD8 T cells (CD39 induction, effector differentiation) but IL-12 does not directly induce IL-27 expression.",0,2,,IL-12 and IL-27 Promote CD39 Expression on CD8+ T Cells — https://journals.aai.org/jimmunol/article/210/10/1598/263576/ ||| Regulation of Antitumor Immune Responses by the IL-12 Family — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2946577/,0,,,0,0,,
IL-12,IL-6,NOVEL,no_lit,IL-12 and IL-6 cooperate in T cell priming/Th1 development but no published evidence that IL-12 induces IL-6 production in NKT cells.,NKT:2,1,NKT,// T=NKT: IL-12 and IL-6 cooperate in T cell priming/Th1 development but no published evidence that IL-12 induces IL-6 production in NKT cells.,0,0,,,0,,,0,0,,
IL-12,IL-9,PARTIAL,partial_lit,"IL-12 is listed among cytokines that can increase IL-9 production from CD4+ T cells under certain conditions, but the canonical Th9 differentiation pathway involves TGF-β + IL-4 (not IL-12, which classically drives Th1/IFN-γ).","CD4 Naive:1, HSPC:1",1,CD4 Naive,"// T=CD4 Naive: IL-12 is listed among cytokines that can increase IL-9 production from CD4+ T cells under certain conditions, but the canonical Th9 differentiation pathway involves TGF-β + IL-4 (not IL-12, which classically drives Th1/IFN-γ).",1,0,Th9 cells: differentiation and disease — https://pmc.ncbi.nlm.nih.gov/articles/PMC3982928/,,0,,,0,0,,
IL-12,TL1A,KNOWN_COREGULATED,coregulated_other,"TL1A synergizes with IL-12 (and IL-18) to enhance IFN-gamma production in T/NK/MAIT cells, but TL1A does not directly induce IL-12 expression — they are co-acting partners on shared targets.","CD4 Naive:1, MAIT:1",0,,,0,0,,,1,MAIT,"// T=MAIT: TL1A synergizes with IL-12 (and IL-18) to enhance IFN-gamma production in T/NK/MAIT cells, but TL1A does not directly induce IL-12 expression — they are co-acting partners on shared targets.",1,1,TCR and Inflammatory Signals Tune Human MAIT Cells — https://www.sciencedirect.com/science/article/pii/S2211124719310988,TL1A Synergizes with IL-12 and IL-18 to Enhance IFN-gamma Production in Human T Cells and NK Cells — https://journals.aai.org/jimmunol/article/172/11/7002/80995/
IL-12,VEGF,KNOWN_COREGULATED,b_to_a,"IL-12 is documented as ANTI-angiogenic (opposite direction to A→B), acting via IFN-γ/IP-10 to inhibit neovascularization and VEGF-dependent angiogenesis. Both molecules are coupled in the angiogenesis axis but the documented cascade is IL-12 inhibiting (not inducing) VEGF.","CD4 Naive:2, CD14 Mono:1, NKT:1",1,CD16 Mono,"// T=CD16 Mono: IL-12 is documented as ANTI-angiogenic (opposite direction to A→B), acting via IFN-γ/IP-10 to inhibit neovascularization and VEGF-dependent angiogenesis. Both molecules are coupled in the angiogenesis axis but the documented cascade is IL-12 inhibiting (not inducing) VEGF.",1,1,Angiostatin anti-angiogenesis requires IL-12 — https://pmc.ncbi.nlm.nih.gov/articles/PMC2630934/,IL-12 Inhibition of Endothelial Cell Functions and Angiogenesis — https://journals.aai.org/jimmunol/article/166/6/3890/70412/,0,,,0,0,,
IL-13,IL-27,KNOWN_COREGULATED,b_to_a,"IL-27 is documented to suppress Th2 responses (including IL-13 production), so the documented direction is reverse (IL-27 → suppresses IL-13). IL-27 is known to induce IL-10 in MAIT cells, but IL-13 inducing IL-27 in MAIT was not found.","MAIT:2, Plasmablast:1",1,MAIT,"// T=MAIT: IL-27 is documented to suppress Th2 responses (including IL-13 production), so the documented direction is reverse (IL-27 → suppresses IL-13). IL-27 is known to induce IL-10 in MAIT cells, but IL-13 inducing IL-27 in MAIT was not found.",1,1,Interleukin-27 in T Cell Immunity — https://pmc.ncbi.nlm.nih.gov/articles/PMC4346869/,Human MAIT cell response profiles biased toward IL-17 or IL-10 — https://www.pnas.org/doi/10.1073/pnas.2414230122,0,,,0,0,,
IL-13,IL-6,PARTIAL,partial_lit,"IL-6 promotes Th2 polarization (inducing IL-4 secretion and inhibiting Th1), and Th2 cells are the canonical IL-13 source. No direct mechanistic study of IL-6 inducing IL-13 transcription in naive CD4 T cells.","CD4 Naive:2, MAIT:1, CD8 Naive:1",0,,,0,0,,,1,CD4 Naive,"// T=CD4 Naive: IL-6 promotes Th2 polarization (inducing IL-4 secretion and inhibiting Th1), and Th2 cells are the canonical IL-13 source. No direct mechanistic study of IL-6 inducing IL-13 transcription in naive CD4 T cells.",0,1,,Interleukin 6: at the interface of human health and disease - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1255533/full
IL-13,TL1A,KNOWN_COREGULATED,coregulated_other,"TL1A/TNFSF15 drives IL-13 production primarily from ILC2s and Th2/Th9 cells (well-documented in muco-secretory fibrotic disorders and gut inflammation). The relay cell type in this case is CD14 Mono, where monocytes/macrophages are the primary SOURCE of TL1A, not the producer of IL-13 — so the docum","Plasmablast:1, CD14 Mono:1",0,,,0,0,,,1,CD14 Mono,"// T=CD14 Mono: TL1A/TNFSF15 drives IL-13 production primarily from ILC2s and Th2/Th9 cells (well-documented in muco-secretory fibrotic disorders and gut inflammation). The relay cell type in this case is CD14 Mono, where monocytes/macrophages are the primary SOURCE of TL1A, not the producer of IL-13 — so the documented cascade goes via lymphocytes, not directly through monocytes.",1,1,The tale of TL1A in inflammation — https://www.nature.com/articles/mi201120,Targeting TL1A/DR3 Signaling Offers a Therapeutic Advantage to Neutralizing IL13/IL4Rα — https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8299868/
IL-13,VEGF,KNOWN_DIRECTIONAL,a_to_b,"VEGF enhances Th2 sensitization and inflammation in the lung, with a documented positive feedback loop with IL-13. VEGF induces IL-13-dependent asthma-like phenotype in transgenic mice.","CD4 Naive:2, MAIT:1, CD8 Naive:1",0,,,0,0,,,1,CD4 Naive,"// T=CD4 Naive: VEGF enhances Th2 sensitization and inflammation in the lung, with a documented positive feedback loop with IL-13. VEGF induces IL-13-dependent asthma-like phenotype in transgenic mice.",3,0,VEGF induces remodeling and enhances TH2-mediated sensitization - https://www.nature.com/articles/nm1105 ||| VEGF controls lung Th2 inflammation via miR-1-Mpl-P-selectin axis - https://rupress.org/jem/article/210/10/1993/41405/VEGF-controls-lung-Th2-inflammation-via-the-miR-1 ||| Studies of VEGF in asthma and COPD - https://pubmed.ncbi.nlm.nih.gov/22052929/,
IL-15,IL-2,PRE_REGISTERED,b_to_a,Pre-registered KNOWN_CASCADE.,"NK CD56bright:4, CD8 Memory:1, MAIT:1",0,,,0,0,,,0,,,0,0,,
IL-15,IL-9,NOVEL,no_lit,"IL-9 and IL-15 share the gamma chain receptor but no evidence IL-9 induces IL-15 production. IL-15 (not IL-9) regulates NKT homeostasis, terminal maturation, and stage 3 differentiation.","NK CD56bright:1, Plasmablast:1, NKT:1",0,,,0,0,,,1,NKT,"// T=NKT: IL-9 and IL-15 share the gamma chain receptor but no evidence IL-9 induces IL-15 production. IL-15 (not IL-9) regulates NKT homeostasis, terminal maturation, and stage 3 differentiation.",0,0,,
IL-15,VEGF,KNOWN_COREGULATED,b_to_a,Documented direction is reverse: IL-15 signaling via JAK-STAT5 drives VEGF-A expression in NK cells. No published evidence VEGF induces IL-15.,"MAIT:2, NK:1, cDC:1",0,,,0,0,,,1,NK,// T=NK: Documented direction is reverse: IL-15 signaling via JAK-STAT5 drives VEGF-A expression in NK cells. No published evidence VEGF induces IL-15.,1,1,The Production of Pro-angiogenic VEGF-A Isoforms by Hypoxic Human NK Cells — https://pmc.ncbi.nlm.nih.gov/articles/PMC7477355/,Transcription Factors Associated With IL-15 Cytokine Signaling During NK Cell Development — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.610789/full
IL-16,IL-6,KNOWN_DIRECTIONAL,a_to_b,"IL-16 stimulation of CD14+ CD4+ monocytes/maturing macrophages induces IL-1b, IL-6, IL-15, and TNF-alpha production, with mRNA detected within 4 hours and protein by 24 hours. This is a direct, well-documented A→B effect.","MAIT:1, CD16 Mono:1, NKT:1",1,CD16 Mono,"// T=CD16 Mono: IL-16 stimulation of CD14+ CD4+ monocytes/maturing macrophages induces IL-1b, IL-6, IL-15, and TNF-alpha production, with mRNA detected within 4 hours and protein by 24 hours. This is a direct, well-documented A→B effect.",1,0,Interleukin-16 stimulates the expression and production of pro-inflammatory cytokines by human monocytes — https://pmc.ncbi.nlm.nih.gov/articles/PMC2326980/,,0,,,0,0,,
IL-16,IL-9,KNOWN_DIRECTIONAL,a_to_b,"IL-9 acts on bronchial epithelial cells (BEAS-2B) in vitro to induce the T-cell chemoattractants IL-16 and RANTES; IL-16 can be induced by IL-4/IL-9/TNF/serotonin. Documented in epithelial cells, not NKT specifically.","CD8 Naive:3, NKT:1, CD14 Mono:1",0,,,0,0,,,1,NKT,"// T=NKT: IL-9 acts on bronchial epithelial cells (BEAS-2B) in vitro to induce the T-cell chemoattractants IL-16 and RANTES; IL-16 can be induced by IL-4/IL-9/TNF/serotonin. Documented in epithelial cells, not NKT specifically.",1,1,Interleukin (IL)-4/IL-9 and Exogenous IL-16 Induce IL-16 Production by BEAS-2B Cells — https://www.sciencedirect.com/science/article/abs/pii/S0008874900917453,Role of interleukin-16 in human diseases — https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1524026/full
IL-16,VEGF,NOVEL,no_lit,"No clear evidence of IL-16 inducing VEGF expression in immune cells, particularly MAIT cells. Multiple other interleukins (IL-6, IL-17, IL-1) are well-documented VEGF inducers, but IL-16 is not.","CD14 Mono:1, CD4 Naive:1",1,MAIT,"// T=MAIT: No clear evidence of IL-16 inducing VEGF expression in immune cells, particularly MAIT cells. Multiple other interleukins (IL-6, IL-17, IL-1) are well-documented VEGF inducers, but IL-16 is not.",0,0,,,0,,,0,0,,
IL-17A,IL-36-alpha,KNOWN_DIRECTIONAL,a_to_b,"IL-36 (including IL-36alpha) activates Th17 cells and induces IL-17A expression, forming a positive feedback loop with IL-17A in psoriasis. Direct evidence in T cells via Th17 differentiation.",CD8 Naive:2,0,,,0,0,,,1,CD8 Naive,"// T=CD8 Naive: IL-36 (including IL-36alpha) activates Th17 cells and induces IL-17A expression, forming a positive feedback loop with IL-17A in psoriasis. Direct evidence in T cells via Th17 differentiation.",2,1,Inter-Regulation of Th17 Cytokines and IL-36 Cytokines - https://www.sciencedirect.com/science/article/pii/S0022202X15351137 ||| IL-17/IL-36 axis in skin inflammation - https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0222969,Biology of IL-36 Signaling and Its Role in Systemic Inflammatory Diseases - https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2019.02532/full
